,fighter_1,weight_1,reach_1,age_1,slpm_1,sapm_1,td_avg_1,sub_avg_1,strk_acc_1,strk_def_1,td_acc_1,td_def_1,wins_1,losses_1,fighter_2,weight_2,reach_2,age_2,slpm_2,sapm_2,td_avg_2,sub_avg_2,strk_acc_2,strk_def_2,td_acc_2,td_def_2,wins_2,losses_2,result,SUB_OVR,KO_OVR
12,JohnnyMunoz,145,71,28,3.27,1.4,2.0,1.0,62,58,12,0,10,1,JameySimmons,145,70,29,0.52,2.08,0.0,0.0,50,50,0,0,7,3,1,1,0
13,JaredCannonier,185,11,37,3.7,3.09,0.16,0.0,52,64,33,54,13,5,KelvinGastelum,185,71,30,3.52,3.24,1.16,0.1,42,57,37,62,17,7,1,0,0
14,ClayGuida,155,70,40,2.44,2.57,3.36,0.7,34,63,38,68,36,17,MarkMadsen,155,72,37,2.28,2.53,8.33,0.0,42,46,64,0,10,0,0,0,0
15,ParkerPorter,265,75,36,7.69,7.36,1.65,1.1,49,52,60,0,11,6,ChaseSherman,250,78,32,6.0,5.77,0.0,0.0,45,52,0,77,15,7,1,0,0
16,TrevinJones,135,70,31,3.84,6.81,1.17,0.0,61,35,20,0,13,6,SaidyokubKakhramonov,135,8,26,0.0,0.0,0.0,0.0,0,0,0,0,8,2,0,1,0
17,VincPichel,155,10,39,3.2,2.28,3.83,0.3,46,56,60,20,13,2,AustinHubbard,155,10,30,3.66,2.61,0.81,0.0,50,59,66,58,13,5,1,0,0
18,AlexandrePantoja,125,67,31,4.3,3.39,0.94,0.9,47,53,35,68,23,5,BrandonRoyval,125,68,29,3.77,2.88,0.79,2.4,46,47,0,53,12,5,1,1,0
19,AustinLingo,145,10,27,3.57,3.17,1.0,0.0,44,62,66,76,8,1,LuisSaldana,145,11,30,4.39,1.79,0.0,0.6,51,64,0,42,15,6,1,0,0
20,BrianKelleher,135,66,35,3.92,5.47,1.0,0.7,39,53,25,59,22,12,DomingoPilarte,135,73,31,2.04,3.69,2.0,1.3,50,42,42,75,8,2,1,0,0
21,BeaMalecki,135,74,30,6.78,6.14,0.0,1.4,46,62,0,78,4,0,JosianeNunes,135,67,28,0.0,0.0,0.0,0.0,0,0,0,0,7,1,-2,0,0
22,WilliamKnight,205,10,33,3.56,2.56,2.56,0.3,74,34,53,40,9,2,FabioCherant,205,95,27,1.0,6.73,0.0,0.0,30,31,0,0,7,2,1,0,1
23,RooseveltRoberts,155,73,27,3.03,2.27,1.75,1.1,49,52,53,58,10,2,IgnacioBahamondes,155,75,24,7.91,6.4,0.0,0.0,41,51,0,0,11,4,0,0,1
24,SashaPalatnikov,170,72,32,7.58,6.15,0.82,0.0,52,52,0,80,6,3,RamizBrahimaj,170,10,29,3.73,6.14,0.0,0.0,36,55,0,0,8,3,0,1,0
25,EdsonBarboza,145,11,35,4.16,4.15,0.42,0.1,44,59,44,78,22,9,GigaChikadze,145,74,33,3.55,2.67,0.38,0.0,44,60,33,68,13,2,0,0,1
26,BryanBattle,185,77,27,0.0,0.0,0.0,0.0,0,0,0,0,6,1,GilbertUrbina,185,60,25,0.0,0.0,0.0,0.0,0,0,0,0,6,2,1,1,0
27,RickyTurcios,135,71,28,7.33,4.07,0.0,0.0,37,64,0,0,11,2,BradyHiestand,135,71,22,0.0,0.0,0.0,0.0,0,0,0,0,6,1,1,0,0
28,KevinLee,170,77,29,3.9,3.23,3.21,0.8,42,51,43,75,18,6,DanielRodriguez,170,74,35,8.07,5.71,1.0,0.2,48,56,55,83,15,2,0,0,0
29,AndrePetroski,185,73,30,0.0,0.0,0.0,0.0,0,0,0,0,5,2,MichealGillmore,185,11,34,0.0,0.0,0.0,0.0,0,0,0,0,6,3,1,0,1
30,MakhmudMuradov,185,75,31,5.32,2.92,0.36,0.4,42,64,16,0,25,6,GeraldMeerschaert,185,77,34,3.31,3.6,2.28,1.8,43,51,43,43,32,14,0,1,0
31,AlessioDiChirico,185,74,32,3.3,3.24,1.62,0.0,41,62,45,83,13,5,AbdulRazakAlhassan,185,10,36,3.71,4.24,0.53,0.0,47,53,28,55,10,4,0,0,1
32,SamAlvey,205,75,35,3.2,3.44,0.07,0.1,43,54,16,82,33,15,WellingtonTurman,185,72,25,2.44,3.75,2.31,0.8,42,43,22,0,16,5,0,0,0
33,DustinJacoby,205,76,33,4.03,3.27,0.36,0.0,48,59,50,61,14,5,DarrenStewart,185,74,31,2.98,3.07,1.56,0.1,45,49,41,67,12,7,1,0,1
34,JJAldrich,125,67,29,3.76,4.55,0.8,0.0,41,61,40,57,9,4,VanessaDemopoulos,125,59,33,1.6,3.13,0.0,2.0,41,50,0,0,6,3,-2,0,0
35,JamallEmmers,145,10,32,5.75,4.65,2.9,0.0,52,54,53,0,18,5,PatSabatini,145,70,31,1.73,1.27,1.0,1.0,57,62,20,0,14,3,0,1,0
36,ManaMartinez,135,10,25,2.11,1.27,0.0,6.3,62,50,0,0,8,2,GuidoCannetti,135,68,42,2.85,2.17,2.64,0.3,51,50,50,75,8,6,1,0,0
37,DerekBrunson,185,77,37,3.46,2.72,3.11,0.5,47,53,33,94,22,7,DarrenTill,185,74,29,2.27,2.99,0.54,0.0,46,58,41,82,18,3,1,1,0
38,TomAspinall,256,78,28,7.43,3.06,3.54,1.8,66,65,0,0,10,2,SergheiSpivac,260,78,26,3.85,3.1,2.83,0.2,50,56,63,70,13,2,1,0,1
39,AlexMorono,170,11,31,5.05,3.69,0.43,0.4,42,56,25,52,19,7,DavidZawada,170,75,31,3.24,4.07,0.96,2.2,40,54,30,57,17,6,1,0,0
40,ModestasBukauskas,205,78,27,3.77,4.36,0.0,0.0,35,50,0,0,11,4,KhalilRountreeJr.,205,76,31,3.06,3.63,0.0,0.2,38,49,0,50,9,5,0,0,1
41,PaddyPimblett,155,10,26,0.0,0.0,0.0,0.0,0,0,0,0,16,3,LuigiVendramini,155,73,25,2.26,2.49,0.67,0.7,37,65,8,0,9,2,1,0,1
42,MollyMcCann,125,62,31,5.15,4.28,1.64,0.7,50,65,29,28,10,4,JiYeonKim,125,72,32,4.5,4.94,0.0,0.0,34,57,0,42,9,3,-2,0,0
43,JackShore,135,71,26,3.14,1.61,5.52,0.8,57,56,46,0,14,0,LiudvikSholinian,135,10,31,0.0,0.0,0.0,0.0,0,0,0,0,9,2,1,0,0
44,JulianErosa,145,74,32,5.1,5.78,1.29,0.9,47,50,54,58,25,10,CharlesJourdain,145,69,26,4.79,4.11,0.0,0.7,45,61,0,47,11,3,1,1,0
45,DalchaLungiambula,185,76,34,1.85,2.27,2.07,0.0,50,43,50,75,11,2,Marc-AndreBarriault,185,74,31,5.36,4.79,0.43,0.0,48,55,25,72,12,4,0,0,0
46,JonathanMartinez,135,70,27,4.27,3.81,0.48,0.0,46,58,37,63,13,4,MarceloRojo,135,71,33,5.1,7.3,1.03,0.0,36,51,50,0,16,8,-2,0,0
47,AnthonySmith,205,76,33,3.0,4.36,0.47,0.7,47,42,28,47,35,16,RyanSpann,205,79,30,3.55,3.45,1.72,1.7,45,47,41,60,19,6,1,1,0
48,IonCutelaba,205,75,28,5.03,3.8,3.69,0.0,40,47,57,78,15,6,DevinClark,205,75,31,3.33,2.43,2.7,0.1,57,48,36,76,12,5,1,0,0
49,ArianeLipski,125,67,27,2.76,4.25,0.23,0.5,33,48,25,42,13,7,MandyBohm,125,71,32,0.0,0.0,0.0,0.0,0,0,0,0,7,0,-2,0,0
50,ArmanTsarukyan,155,72,25,3.35,1.43,3.5,0.0,44,62,35,78,16,2,ChristosGiagos,155,10,31,2.93,2.77,3.38,0.5,41,50,41,50,19,8,1,0,1
51,NateManess,135,10,30,2.4,4.63,1.33,0.7,45,45,66,88,13,1,TonyGravely,135,69,30,4.01,3.11,6.11,0.6,54,45,54,52,21,6,1,0,1
52,JoaquinBuckley,185,10,27,4.58,5.46,0.6,0.0,36,51,16,0,12,4,AntonioArroyo,185,73,32,3.08,1.72,1.4,0.3,70,44,41,32,9,4,1,0,1
53,MikeRodriguez,205,82,33,4.61,3.39,0.0,0.0,59,40,0,41,11,6,TafonNchukwi,205,77,27,6.08,4.48,0.41,0.0,51,51,25,66,5,1,0,0,0
54,PannieKianzad,135,66,30,5.71,4.56,0.18,0.2,49,54,14,78,16,5,RaquelPennington,135,67,33,3.62,3.2,1.12,0.7,48,63,28,65,11,9,-2,0,0
55,ZhuRong,155,71,21,2.8,6.4,3.0,0.0,40,45,75,0,17,4,BrandonJenkins,155,71,30,0.0,0.0,0.0,0.0,0,0,0,0,15,7,1,0,1
56,MontelJackson,135,10,29,3.77,1.5,4.15,0.2,55,56,77,66,10,2,JPBuys,135,67,25,2.66,3.05,2.22,2.2,45,43,50,33,9,3,1,0,0
57,ErinBlanchfield,135,66,22,0.0,0.0,0.0,0.0,0,0,0,0,6,1,SarahAlpar,135,63,30,2.11,4.76,2.69,0.7,54,32,28,50,9,5,-2,0,0
58,ImpaKasanganay,170,11,27,5.08,3.41,1.83,0.3,49,59,58,63,9,1,CarlstonHarris,170,76,34,1.74,0.35,0.0,5.2,38,90,0,0,16,4,0,0,1
59,GustavoLopez,135,67,32,2.24,4.65,1.07,0.5,41,51,50,27,12,6,Alatengheili,135,66,30,2.87,5.82,2.33,0.0,32,57,35,0,14,8,-2,0,0
60,EmilyWhitmire,125,63,30,2.71,3.08,1.1,0.6,30,54,50,70,4,4,HannahGoldy,125,61,29,6.4,5.2,0.67,0.0,47,50,33,66,5,2,-2,0,0
61,AlexanderVolkanovski,145,71,33,6.02,3.31,2.09,0.3,55,60,34,72,22,1,BrianOrtega,145,69,30,4.29,6.28,0.8,1.1,38,52,21,56,15,1,1,0,0
62,ValentinaShevchenko,125,66,33,3.02,1.99,2.64,0.4,51,62,63,77,21,3,LaurenMurphy,125,67,38,3.95,4.25,1.16,0.1,40,61,34,70,15,4,-2,0,0
63,NickDiaz,170,76,38,5.43,3.56,1.32,1.0,42,61,33,60,26,9,RobbieLawler,170,11,39,3.5,4.16,0.68,0.0,45,60,64,64,28,15,0,0,1
64,CurtisBlaydes,265,80,30,3.59,1.7,6.64,0.0,53,57,54,33,14,3,JairzinhoRozenstruik,242,78,33,3.15,3.27,0.0,0.0,49,40,0,80,12,2,1,0,0
65,JessicaAndrade,125,62,30,6.15,5.2,2.97,0.4,50,52,55,66,21,9,CynthiaCalvillo,125,64,34,4.18,3.52,1.85,1.1,41,67,44,71,9,2,-2,0,0
66,MarlonMoraes,135,67,33,3.38,4.11,1.0,0.4,39,56,41,66,23,8,MerabDvalishvili,135,68,30,4.02,2.22,7.38,0.4,39,61,43,78,13,4,0,0,1
67,DanHooker,155,75,31,4.95,4.92,0.72,0.3,48,51,34,79,20,10,NasratHaqparast,155,10,26,5.81,3.23,0.18,0.0,47,74,16,84,13,3,1,0,0
