,fighter_1,weight_1,reach_1,age_1,slpm_1,sapm_1,td_avg_1,sub_avg_1,strk_acc_1,strk_def_1,td_acc_1,td_def_1,wins_1,losses_1,fighter_2,weight_2,reach_2,age_2,slpm_2,sapm_2,td_avg_2,sub_avg_2,strk_acc_2,strk_def_2,td_acc_2,td_def_2,wins_2,losses_2,result,SUB_OVR,KO_OVR,Fighter_1_Odds,Fighter_2_Odds
377,NickMaximov,185.0,76.0,25,1.82,1.71,5.51,0.3,52.0,42.0,45.0,0.0,8.0,1.0,JacobMalkoun,185.0,73.0,27,3.09,2.76,6.95,0.7,58.0,43.0,38.0,0.0,6.0,2.0,0,0,0,-333.0,210.0
378,JoandersonBrito,145.0,72.0,27,3.79,3.28,2.9,0.0,49.0,50.0,62.0,0.0,13.0,3.0,LucasAlexander,145.0,11.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1,1,0,-500.0,310.0
379,PieraRodriguez,115.0,63.0,30,3.1,2.23,3.0,0.0,44.0,64.0,35.0,75.0,8.0,0.0,SamHughes,115.0,64.0,30,3.77,4.73,1.41,0.0,47.0,53.0,40.0,41.0,7.0,4.0,1,0,0,-157.0,120.0
380,TatsuroTaira,125.0,70.0,22,3.8,0.6,1.0,3.0,65.0,73.0,20.0,60.0,11.0,0.0,CJVergara,125.0,68.0,31,5.67,5.31,0.0,0.0,55.0,52.0,0.0,80.0,10.0,3.0,1,1,0,-704.0,400.0
381,MikeJackson,170.0,74.0,37,4.33,2.91,0.76,0.0,56.0,67.0,50.0,88.0,1.0,1.0,PeteRodriguez,170.0,71.0,26,8.38,4.41,0.0,0.0,36.0,46.0,0.0,0.0,4.0,1.0,0,0,1,475.0,-800.0
382,CharlesOliveira,155.0,10.0,33,3.53,3.18,2.46,2.9,53.0,52.0,40.0,57.0,33.0,8.0,IslamMakhachev,155.0,10.0,31,2.27,0.84,3.41,1.2,57.0,68.0,65.0,88.0,22.0,1.0,0,1,0,140.0,-245.0
383,PetrYan,135.0,67.0,29,5.45,3.88,1.48,0.2,53.0,61.0,61.0,90.0,16.0,3.0,SeanO'Malley,135.0,11.0,28,7.75,3.48,0.54,0.5,62.0,64.0,50.0,64.0,15.0,1.0,0,0,0,-435.0,200.0
384,BeneilDariush,155.0,10.0,33,3.8,2.58,2.11,1.0,49.0,58.0,34.0,81.0,21.0,4.0,MateuszGamrot,155.0,10.0,32,3.54,3.19,4.83,0.3,51.0,63.0,35.0,90.0,21.0,1.0,1,0,0,170.0,-275.0
385,BelalMuhammad,170.0,11.0,34,4.31,3.58,2.29,0.2,43.0,59.0,35.0,91.0,21.0,3.0,SeanBrady,170.0,10.0,30,3.91,3.22,3.22,0.9,54.0,62.0,60.0,87.0,15.0,0.0,1,0,1,100.0,-152.0
386,MakhmudMuradov,185.0,75.0,32,5.39,3.17,0.31,0.3,42.0,61.0,16.0,80.0,25.0,7.0,CaioBorralho,185.0,10.0,29,2.72,1.82,2.63,0.0,62.0,61.0,80.0,75.0,12.0,1.0,0,0,0,170.0,-232.0
